X;Y;ID
4157127.31651033;3787497.19084404;140656
4157516.63190906;3788183.3980435;140657
4157905.97490582;3788869.61697425;140658
4158295.34549811;3789555.84762808;140659
4158684.74368339;3790242.08999676;140660
4159074.16945915;3790928.34407208;140661
4159463.62282289;3791614.6098458;140662
4159853.10377208;3792300.8873097;140663
4160242.61230419;3792987.17645556;140664
4160632.14841672;3793673.47727514;140665
4161021.71210714;3794359.7897602;140666
4161411.30337293;3795046.11390254;140667
4161800.92221157;3795732.4496939;140668
4162190.56862052;3796418.79712606;140669
4162580.24259727;3797105.15619077;140670
4162969.94413929;3797791.52687981;140671
4163359.67324405;3798477.90918492;140672
4163749.42990902;3799164.30309789;140673
4164139.21413168;3799850.70861046;140674
4164529.02590948;3800537.12571438;140675
4164918.86523991;3801223.55440143;140676
4165308.73212043;3801909.99466335;140677
4165698.6265485;3802596.4464919;140678
4166088.54852159;3803282.90987882;140679
4166478.49803716;3803969.38481587;140680
4166868.47509268;3804655.8712948;140681
4167258.4796856;3805342.36930736;140682
4167648.51181339;3806028.87884529;140683
4168038.57147352;3806715.39990034;140684
4168428.65866342;3807401.93246425;140685
4168818.77338057;3808088.47652877;140686
4169208.91562243;3808775.03208565;140687
4169599.08538644;3809461.5991266;140688
4169989.28267005;3810148.1776434;140689
4170379.50747073;3810834.76762775;140690
4170769.75978593;3811521.3690714;140691
4171160.0396131;3812207.9819661;140692
4171550.34694968;3812894.60630356;140693
4171940.68179313;3813581.24207552;140694
4172331.0441409;3814267.88927372;140695
4172721.43399042;3814954.54788988;140696
4173111.85133915;3815641.21791573;140697
4173502.29618454;3816327.89934302;140698
4173892.76852402;3817014.59216343;140699
4174283.26835504;3817701.29636872;140700
4174673.79567504;3818388.01195059;140701
4175064.35048146;3819074.73890079;140702
4175454.93277173;3819761.47721102;140703
4175845.54254331;3820448.22687298;140704
4176236.17979362;3821134.98787844;140705
4176626.84452011;3821821.76021906;140706
4177017.5367202;3822508.5438866;140707
4177408.25639133;3823195.33887275;140708
4177799.00353094;3823882.14516923;140709
4178189.77813646;3824568.96276775;140710
4178580.58020531;3825255.79166001;140711
4178971.40973493;3825942.63183773;140712
4179362.26672275;3826629.48329261;140713
4179753.15116619;3827316.34601635;140714
4180144.06306268;3828003.22000068;140715
4180535.00240964;3828690.10523728;140716
4180925.96920451;3829377.00171786;140717
4181316.9634447;3830063.90943412;140718
4181707.98512765;3830750.82837775;140719
4182099.03425075;3831437.75854045;140720
4182490.11081145;3832124.69991394;140721
4182881.21480716;3832811.65248989;140722
4183272.34623529;3833498.61626001;140723
